"","SiteSubsitePlot","ShrubChange","GramChange","ForbChange","ShrubTrend","GramTrend","ForbTrend"
"200","ATQASUK:AG:AGCB09",-24.904900425151,28.8655180129783,-3.96061758782725,"Decrease","Increase","Decrease"
"201","ATQASUK:AG:AGCB10",-4.20884996018655,4.94824252075987,-0.739392560573314,"Decrease","Increase","Decrease"
"202","ATQASUK:AG:AGCB11",-14.1741845940319,13.410825815406,0.763358778625954,"Decrease","Increase","Increase"
"203","ATQASUK:AG:AGCC05",-33.8995943204868,33.8995943204868,NA,"Decrease","Increase",NA
"204","ATQASUK:AG:AGCC06",-35.3002070393375,37.4223602484472,-2.12215320910973,"Decrease","Increase","Decrease"
"205","ATQASUK:AG:AGCC08",-1.57657657657657,0.900900900900901,0.675675675675676,"Decrease","Increase","Increase"
"206","ATQASUK:AG:AGCC09",-17.960088691796,17.960088691796,NA,"Decrease","Increase",NA
"207","ATQASUK:AG:AGCC10",-10.5263157894737,4.60526315789473,5.92105263157895,"Decrease","Increase","Increase"
"208","ATQASUK:AG:AGCC11",5.21601685985247,-1.45767474534598,-3.7583421145065,"Increase","Decrease","Decrease"
"209","ATQASUK:AG:AGCD02",-32.4478178368122,32.4478178368122,NA,"Decrease","Increase",NA
"210","ATQASUK:AG:AGCD03",-5.6072536387497,5.6072536387497,NA,"Decrease","Increase",NA
"211","ATQASUK:AG:AGCD04",-10.1727982162765,10.1727982162765,NA,"Decrease","Increase",NA
"212","ATQASUK:AG:AGCD05",4.64646464646464,5.65656565656566,-10.3030303030303,"Increase","Increase","Decrease"
"213","ATQASUK:AG:AGCD06",-13.5948905109489,11.4963503649635,2.0985401459854,"Decrease","Increase","Increase"
"214","ATQASUK:AG:AGCD07",-15.2857142857143,14.6904761904762,0.595238095238095,"Decrease","Increase","Increase"
"215","ATQASUK:AG:AGCD08",-12.4765829898838,12.4765829898839,NA,"Decrease","Increase",NA
"216","ATQASUK:AG:AGCD10",0.953241019466191,-0.762592815572948,-0.190648203893237,"Increase","Decrease","Decrease"
"217","ATQASUK:AG:AGCD11",-13.4073291050035,13.4073291050035,NA,"Decrease","Increase",NA
"218","ATQASUK:AG:AGCE02",-49.2619047619048,49.2619047619048,NA,"Decrease","Increase",NA
"219","ATQASUK:AG:AGCE03",-22.895467160037,22.895467160037,NA,"Decrease","Increase",NA
"220","ATQASUK:AG:AGCE04",-27.8180354267311,27.8180354267311,NA,"Decrease","Increase",NA
"221","ATQASUK:AG:AGCE06",2.92022792022792,9.25925925925926,-12.1794871794872,"Increase","Increase","Decrease"
"222","ATQASUK:AG:AGCE07",-9.43426550948249,9.22532947605271,0.208936033429767,"Decrease","Increase","Increase"
"223","ATQASUK:AG:AGCE08",-10.1838235294118,9.55882352941177,0.625,"Decrease","Increase","Increase"
